,url,outlet,Author,Date,Title,page_num
374,https://www.texastribune.org/2022/09/24/roe-v-wade-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 24, 2022",Watch a panel on Roe v. Wade at the 2022 Texas Tribune Festival,374
375,https://www.texastribune.org/2022/09/22/jason-kander-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",Watch Jason Kander speak at the 2022 Texas Tribune Festival,375
376,https://www.texastribune.org/2022/09/20/veronica-escobar-military-pretrial-confinement/,Texas Tribune,VIANNA DAVILA,"SEPT. 20, 2022",Texas congresswoman calls for examination of military pretrial confinement,376
377,https://www.texastribune.org/2022/09/22/pete-souza-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",Watch Pete Souza speak at the 2022 Texas Tribune Festival,377
378,https://www.texastribune.org/2022/09/23/hillary-clinton-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 23, 2022",Watch Hillary Clinton speak at the 2022 Texas Tribune Festival,378
379,https://www.texastribune.org/2022/09/22/cecile-richards-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",Watch Cecile Richards speak at the 2022 Texas Tribune Festival,379
380,https://www.texastribune.org/2022/09/22/texas-social-studies-state-board-of-education/,Texas Tribune,BRIAN LOPEZ,"SEPT. 22, 2022","When Texas students campaigned for a more diverse history course, they got a lesson in politics",380
381,https://www.texastribune.org/2022/09/22/texas-tribune-festival-free-program/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",The 2022 Texas Tribune Festival’s free program,381
382,https://www.texastribune.org/2022/09/22/jen-psaki-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",Watch Jen Psaki speak at the 2022 Texas Tribune Festival,382
383,https://www.texastribune.org/2022/09/23/dade-phelan-guns-abortion-texas-tribune-festival/,Texas Tribune,SNEHA DEY,"SEPT. 23, 2022",Texas House Speaker Dade Phelan rules out raising the minimum age to buy a firearm,383
384,https://www.texastribune.org/2022/09/24/ted-cruz-texas-tribune-festival/,Texas Tribune,STEPHEN NEUKAM,"SEPT. 24, 2022",Ted Cruz says Texas’ migrant busing exposes hypocrisy of Democrats and media,384
385,https://www.texastribune.org/2022/09/?page=5,Texas Tribune,BRIAN LOPEZ,BY BRIAN LOPEZ,"News For September, 2022",385
386,https://www.texastribune.org/2022/09/?page=3,Texas Tribune,PATRICK SVITEK,BY PATRICK SVITEK,"News For September, 2022",386
